F1,1,Iteration,2,3,4,5,6,7,node selected,Program,8,9,10,11,12,13,14,15,16,17,18
.3699,,,,,,,,,,,,,,,,,,,,,
.4060,.366563,1.0,.355840,.366096,.359728,.433972,.365917,.399665, 5,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), AtomToAtomModule)))
",,,,,,,,,,,
.5440,.367606,2.0,.407225,.390865,.391830,.408847,.376558,.429652, 8,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(OffenseBhDist(), OffenseBhDist(), AtomToAtomModule))))
",.437762,,,,,,,,,,
.5552,.381729,3.0,.486690,.492670,.495884,.443490,.510806,.520561, 7,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(OffenseBhDist(), AtomToAtomModule, Multiply(OffenseBhDist(), OffenseBallDist())))))
",.459561,.496857,.514667,,,,,,,,
.5442,.393773,4.0,.472133,.506315,.511180,.457296,.513577,.531329, 7,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(OffenseBhDist(), AtomToAtomModule, Multiply(OffenseBhDist(), OffenseBallDist())))))
",.515626,.520026,.415595,.495911,.499188,,,,,,
.5478,.366853,5.0,.439064,.469196,.489854,.435702,.535637,.527662, 6,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(AtomToAtomModule, BallXYAffine(), Multiply(OffenseBhDist(), OffenseBallDist())))))
",.403146,.499596,.503207,,,,,,,,
.5405,.373186,6.0,.436198,.502004,.493555,.444120,.509024,.518636, 7,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(BallXYAffine(), AtomToAtomModule, Multiply(OffenseBhDist(), OffenseBallDist())))))
",.457307,.493800,.511316,,,,,,,,
.5458,.398571,7.0,.408084,.481253,.492570,.428618,.457135,.471262, 9,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(BallXYAffine(), Add(OffenseBallDist(), AtomToAtomModule), Multiply(OffenseBhDist(), OffenseBallDist())))))
",.510585,.516325,.407688,.482001,.495698,,,,,,
.5292,.369156,8.0,.405455,.503175,.500167,.410635,.519224,.397437,11,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(BallXYAffine(), Add(OffenseBallDist(), Add(OffenseBallDist(), AtomToAtomModule)), Multiply(OffenseBhDist(), OffenseBallDist())))))
",.526047,.478625,.519979,.528465,.410480,.494722,.493000,,,,
.5429,.378571,9.0,.442442,.494029,.487984,.395063,.510234,.451466, 8,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(BallXYAffine(), Add(AtomToAtomModule, Add(OffenseBallDist(), Add(OffenseInPaint(), OffenseBallDist()))), Multiply(OffenseBhDist(), OffenseBallDist())))))
",.524744,.463303,.520191,.493604,.518119,.514290,.395360,.454825,.488981,,
,.355153,10.0,.452775,.483056,.504265,.433653,.529407,.456564,12,"Start(Map(Add(Multiply(OffenseBhDist(), OffenseBallDist()), SimpleITE(BallXYAffine(), Add(Add(OffenseBasketDist(), OffenseBhDist()), Add(AtomToAtomModule, Add(OffenseInPaint(), OffenseBallDist()))), Multiply(OffenseBhDist(), OffenseBallDist())))))
",.513132,.523983,.523476,.513272,.530658,.513124,.517733,.528463,.395129,.494228,.492147
